"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","type","elevation","elevationAccuracy","county","preparations"
"8a863029-f435-446a-821e-275f4f641165","HUMAN_OBSERVATION","PRESENT","Iris oratoria",43.679794,4.917765,"EUROPE","Bouches-du-Rhône (13)",2019,9,12,"",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4957933552",NA,"Mouries",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",37.043048,-7.973167,"EUROPE","Faro",2019,9,18,"cdc,cdround","https://www.inaturalist.org/observations/32941905","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4137583354","32941905",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",38.695503,-121.323722,"NORTH_AMERICA","California",2019,9,20,"cdc,cdround","https://www.inaturalist.org/observations/33077625","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2818693364","33077625",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",42.194256,2.880144,"EUROPE","Cataluña",2019,9,20,"cdc,cdround","https://www.inaturalist.org/observations/33085602","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2423162780","33085602",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",34.217771,-118.548079,"NORTH_AMERICA","California",2019,9,20,"cdc,cdround","https://www.inaturalist.org/observations/33085903","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2423164824","33085903",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",34.217903,-118.548006,"NORTH_AMERICA","California",2019,9,20,"cdc,cdround","https://www.inaturalist.org/observations/33087108","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2423162423","33087108",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",38.695538,-121.323608,"NORTH_AMERICA","California",2019,9,20,"cdc,cdround","https://www.inaturalist.org/observations/33107511","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2423167412","33107511",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",31.888574,-102.327182,"NORTH_AMERICA","Texas",2019,9,20,"cdc,cdround","https://www.inaturalist.org/observations/33112349","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4596737386","33112349",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",31.88857,-102.327184,"NORTH_AMERICA","Texas",2019,9,20,"cdc,cdround","https://www.inaturalist.org/observations/33112356","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2429253978","33112356",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",31.888554,-102.327184,"NORTH_AMERICA","Texas",2019,9,20,"cdc,cdround","https://www.inaturalist.org/observations/33112426","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2423169179","33112426",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",35.430938,7.146414,"AFRICA","Khenchela",2019,9,22,"cdc,cdround","https://www.inaturalist.org/observations/33186860","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2992706397","33186860",NA,NA,NA,NA,NA,NA
